127.0.0.1 - - [16/Sep/2018:16:13:18 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:13:20 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:13:50 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:13:51 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:13:51 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:13:51 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:13:51 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:13:52 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:13:58 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:11 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:13 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:14 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:14 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:14 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:14 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:16 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:32 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:53 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:14:59 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:02 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:03 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:03 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:03 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:03 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:04 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:04 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:04 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:04 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:05 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:15:05 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:17:54 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:18:10 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:18:11 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [16/Sep/2018:16:21:49 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 161
