127.0.0.1 - - [01/Oct/2018:11:02:04 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:06 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:19 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:19 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:19 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:19 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:19 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:19 +0530] "GET /blogFrontend/accets/css/bootstrap-css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:19 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:19 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:20 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:20 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:20 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:20 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:45 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:46 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/css/bootstrap-css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:47 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:51 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:02:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:11 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:37 +0530] "GET /blogFrontend/BlogsWaitingForApproval.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:37 +0530] "GET /blogFrontend/... HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:37 +0530] "GET /blogmiddleware/getNotApproveBlog HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:40 +0530] "GET /blogmiddleware/getBlog/53 HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:40 +0530] "GET /blogFrontend/BlogDetail.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:43 +0530] "PUT /blogmiddleware/rejectBlog HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:43 +0530] "GET /blogFrontend/... HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:43 +0530] "GET /blogmiddleware/getNotApproveBlog HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:59 +0530] "GET /blogFrontend/ShowAllBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:11:03:59 +0530] "GET /blogmiddleware/getApproveBlog HTTP/1.1" 200 733
